id_tienda,id_producto,categoria,costo_unitario,precio_venta,costo_almacenamiento_semanal,ciudad,tamaño_m2,stock_actual,day_of_week,week,month,quarter,day,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,demanda_real,demanda_pred
STORE_01,PROD_001,Bebidas,800,2500,10,Bogotá,28,1,0,13,3,1,25,0,11.0,3.0,2.0,6.428571428571429,3.154739442867029,4,5.701095181961847
STORE_01,PROD_001,Bebidas,800,2500,10,Bogotá,28,1,1,13,3,1,26,0,4.0,6.0,6.0,6.571428571428571,2.9920529661723854,7,5.636523512502984
STORE_01,PROD_001,Bebidas,800,2500,10,Bogotá,28,1,2,13,3,1,27,0,7.0,7.0,2.0,6.714285714285714,2.984084768360631,6,5.751989262682638
STORE_01,PROD_001,Bebidas,800,2500,10,Bogotá,28,1,3,13,3,1,28,0,6.0,3.0,3.0,6.571428571428571,2.9920529661723854,9,5.69210085000109
STORE_01,PROD_001,Bebidas,800,2500,10,Bogotá,28,1,4,13,3,1,29,0,9.0,5.0,10.0,7.428571428571429,2.6367367999823115,9,9.45569599265656
STORE_01,PROD_001,Bebidas,800,2500,10,Bogotá,28,1,5,13,3,1,30,1,9.0,10.0,12.0,8.0,2.4494897427831788,10,10.223662891875007
STORE_01,PROD_001,Bebidas,800,2500,10,Bogotá,28,1,6,13,3,1,31,1,10.0,11.0,4.0,8.0,2.4494897427831788,6,9.301445214419648
STORE_01,PROD_002,Bebidas,1200,3500,15,Bogotá,28,10,0,13,3,1,25,0,4.0,7.0,7.0,7.0,2.7080128015453324,8,6.416472199175408
STORE_01,PROD_002,Bebidas,1200,3500,15,Bogotá,28,10,1,13,3,1,26,0,8.0,11.0,9.0,7.142857142857143,2.7342623276106006,6,6.941067901736436
STORE_01,PROD_002,Bebidas,1200,3500,15,Bogotá,28,10,2,13,3,1,27,0,6.0,6.0,3.0,6.428571428571429,2.1491969707422585,9,5.929280883499332
STORE_01,PROD_002,Bebidas,1200,3500,15,Bogotá,28,10,3,13,3,1,28,0,9.0,7.0,10.0,6.857142857142857,2.340126166724894,13,6.868493074741253
STORE_01,PROD_002,Bebidas,1200,3500,15,Bogotá,28,10,4,13,3,1,29,0,13.0,4.0,11.0,7.714285714285714,3.302235894778257,7,10.385313875001756
STORE_01,PROD_002,Bebidas,1200,3500,15,Bogotá,28,10,5,13,3,1,30,1,7.0,10.0,9.0,8.142857142857142,2.911389784311011,14,10.49967666367127
STORE_01,PROD_002,Bebidas,1200,3500,15,Bogotá,28,10,6,13,3,1,31,1,14.0,4.0,12.0,8.714285714285714,3.638419332360588,12,11.633881234072698
STORE_01,PROD_003,Bebidas,1500,4500,15,Bogotá,28,33,0,13,3,1,25,0,11.0,6.0,3.0,9.571428571428571,5.593363414414827,7,8.206581505494228
STORE_01,PROD_003,Bebidas,1500,4500,15,Bogotá,28,33,1,13,3,1,26,0,7.0,6.0,1.0,9.714285714285714,5.498917642417936,9,8.309590063644702
STORE_01,PROD_003,Bebidas,1500,4500,15,Bogotá,28,33,2,13,3,1,27,0,9.0,5.0,6.0,10.142857142857142,5.273473599964618,12,8.34582537189935
STORE_01,PROD_003,Bebidas,1500,4500,15,Bogotá,28,33,3,13,3,1,28,0,12.0,7.0,9.0,11.142857142857142,4.77593172161451,8,9.037493164850927
STORE_01,PROD_003,Bebidas,1500,4500,15,Bogotá,28,33,4,13,3,1,29,0,8.0,21.0,7.0,11.285714285714286,4.644505202002523,12,13.607122495870515
STORE_01,PROD_003,Bebidas,1500,4500,15,Bogotá,28,33,5,13,3,1,30,1,12.0,11.0,4.0,10.0,1.999999999999996,7,12.12004234184106
STORE_01,PROD_003,Bebidas,1500,4500,15,Bogotá,28,33,6,13,3,1,31,1,7.0,11.0,15.0,9.428571428571429,2.2253945610567496,13,11.586909499024053
STORE_01,PROD_004,Alimentos,1000,2800,20,Bogotá,28,11,0,13,3,1,25,0,15.0,8.0,6.0,7.571428571428571,4.466808810815732,5,6.425091105519192
STORE_01,PROD_004,Alimentos,1000,2800,20,Bogotá,28,11,1,13,3,1,26,0,5.0,1.0,8.0,7.142857142857143,4.561745697594719,10,6.250397034782998
